11,1,1
11,2,2
11,3,3
11,4,4
11,5,5
11,6,6
11,7,7
11,8,8
11,9,9
11,10,10
11,11,11
11,12,12
11,13,13
15,14,1
15,15,2
15,16,3
15,17,4
15,18,5
15,19,6
15,20,7
15,21,8
15,22,9
15,23,10
15,24,11
15,25,12
16,26,1
16,27,2
16,28,3
16,29,4
16,30,5
16,31,6
16,32,7
16,33,8
16,34,9
19,35,1
19,36,2
19,37,3
19,38,4
19,39,5
19,40,6
19,41,7
19,42,8
19,43,9
19,44,10
19,45,11
19,46,12
19,47,13
19,48,14
19,49,15
20,50,1
20,51,2
20,52,3
20,53,4
20,54,5
20,55,6
20,56,7
20,57,8
20,58,9
20,59,10
20,60,11
20,61,12
20,62,13
20,63,14
20,64,15
20,65,16
88,66,1
88,67,2
88,68,3
88,69,4
88,70,5
88,71,6
88,72,7
88,73,8
88,74,9
88,75,10
88,76,11
88,77,12
88,78,13
88,79,14
88,80,15
88,81,16
91,82,1
91,83,2
91,84,3
91,85,4
91,86,5
91,87,6
91,88,7
91,89,8
91,90,9
91,91,10
91,92,11
91,93,12
91,94,13
91,95,14
91,96,15
98,97,1
98,98,2
98,99,3
98,100,4
98,101,5
98,102,6
98,103,7
98,104,8
98,105,9
98,106,10
102,107,1
102,108,2
102,109,3
102,110,4
102,111,5
102,112,6
102,113,7
102,114,8
102,115,9
102,116,10
102,117,11
102,118,12
101,119,1
101,120,2
101,121,3
101,122,4
101,123,5
101,124,6
101,125,7
101,126,8
101,127,9
101,128,10
111,129,1
111,130,2
111,131,3
111,132,4
111,133,5
111,134,6
111,135,7
111,136,8
111,137,9
111,138,10
111,139,11
117,140,1
117,141,2
117,142,3
117,143,4
117,144,5
117,145,6
117,146,7
117,147,8
117,148,9
117,149,10
117,150,11
120,151,1
120,152,2
120,153,3
120,154,4
120,155,5
120,156,6
120,157,7
120,158,8
120,159,9
120,160,10
120,161,11
120,162,12
120,163,13
152,164,1
152,165,2
152,166,3
152,167,4
152,168,5
152,169,6
152,170,7
152,171,8
152,172,9
152,173,10
152,174,11
152,175,12
169,176,1
169,177,2
169,178,3
169,179,4
169,180,5
169,181,6
169,182,7
169,183,8
169,184,9
169,185,10
169,186,11
173,187,1
173,188,2
173,189,3
173,190,4
173,191,5
173,192,6
173,193,7
173,194,8
173,195,9
173,196,10
173,197,11
